url_path,views_total,views_unique
/xiu14/st-daily-memory-letter,6,1
/xiu14/st-daily-memory-letter/tree/main/.github/workflows,4,1
/xiu14/st-daily-memory-letter/blob/main/.github/workflows/repo-stats.yml,3,1
/xiu14/st-daily-memory-letter/actions/runs/24011656902,2,1
/xiu14/st-daily-memory-letter/actions/runs/24011656902/job/70024147634,2,1
/xiu14/st-daily-memory-letter/actions/workflows/repo-stats.yml,2,1
/xiu14/st-daily-memory-letter/actions,1,1
/xiu14/st-daily-memory-letter/actions/runs/24011618396,1,1
/xiu14/st-daily-memory-letter/actions/runs/24011618396/job/70024047891,1,1
/xiu14/st-daily-memory-letter/blob/github-repo-stats/xiu14/st-daily-memory-letter/latest-report/report.md,1,1
